,Category,subCateLevel,subCateCode,subActionType,subActionValue
0,嬰童紙尿褲,1,2700400000,10,2700400000#1#0
1,濕紙巾,1,3900200000,10,3900200000#1#0
2,推車/安全椅,1,2700200000,10,2700200000#1#0
3,背巾/腰凳,1,2704700000,10,2704700000#1#0
4,哺育用品,1,2702700000,10,2702700000#1#0
5,餐具/餐椅,1,2704100000,10,2704100000#1#0
6,浴盆/便器,1,2704300000,10,2704300000#1#0
7,嬰兒床,1,2700600000,10,2700600000#1#0
8,嬰幼兒寢具,1,2704200000,10,2704200000#1#0
9,玩具,1,2701200000,10,2701200000#1#0
10,積木,1,2704000000,10,2704000000#1#0
11,模型/公仔,1,2703800000,10,2703800000#1#0
12,桌遊,1,2700300000,10,2700300000#1#0
13,地墊/圍欄,1,2703000000,10,2703000000#1#0
14,兒童成長傢俱,1,2704400000,10,2704400000#1#0
15,寢具/睡袋,1,2704500000,10,2704500000#1#0
16,書包/童包,1,2700500000,10,2700500000#1#0
17,文具用品,1,5100100000,10,5100100000#1#0
18,TOP30,1,2700000000,10,2700000000#1#0
